,text,sentiment,pred
140,"@SPDqueer @spdde @spdbt @EskenSaskia @cducsubt @CDU @CSU @BVerfG Wenn also Sachbeschädigung der Preis für ein Selbstbestimmungsgesetz ist, dann sollte das sozial wie politisch weit eher akzeptiert werden, als der Kniefall vor #Rechtsterroristen als Reaktion auf ein echtes #Pogrom:  https://t.co/rMDFgrAsiq",1,1
141,@JensTeuber1 @TheRepublicDe @_FriedrichMerz Verstaubt und morsch? CDU Vorsitz mit 66? 😎😊🤣… back to the 90‘s  https://t.co/cOPtLkDyWI,1,1
142,@jensspahn Es ist schon bekannt das Notfallzulassungen von Impfstoffen keine offiziellen Zulassungen sind sondern nur experimentelle Zulassungen. Wer betreibt hier global mit 7 Mrd. Menschen ein Experiment wg. wenigen Mio. Infektionen und 2% Todesfälle mit einem RNA Impfstoff?,1,2
143,@fpiatov @hendrikstreeck @Karl_Lauterbach Es bleibt ihm nichts anderes übrig...,2,2
144,"Spahn, Scheuer, Klöckner, Altmaier ?? Wie viele Cents haben Sie vergeudet, bzw. verpulvert für nichts ... @GrueneBundestag @Linksfraktion @cducsubt #nogroko @UnsereNeueSPD @spdde @spdbt @forum_dl21 @dielinke  @spdbewegt @fdp  #LaschetDarfNichtKanzlerWerden",1,1
145,@CDU @PaulZiemiak Die Antworten der @CDU sind trotz Modernisierung #vongestern 👉  https://t.co/PKIPiSxMPh,2,1
146,@CDU @ArminLaschet @RheinZeitung @armin &amp; @CDU  Wie sieht die Modernisierung im nächsten Jahrzehnt aus Ihrer Sicht aus? Themen: - Digitalisierung - Industiestandort Deutschland - Wohnen - Bildung - Klimawandel / Energie - Rente Und warum soll das (erst) jetzt geschehen?,2,2
147,Zum Start der #IWgR21: #Rassismus bedroht in zunehmendem Maße den gesellschaftlichen Zusammenhalt und die #Demokratie in Deutschland. @igorpianist @AmadeuAntonio @PetraPauMaHe @DietmarBartsch @katjakipping @ebonyplusirony @alicehasters @nhile_de Infos:  https://t.co/CJ5wU7wUXU  https://t.co/Jj6LTnMy7E,1,2
148,@spdde @OlafScholz Sein Geld? Ihr spinnt doch jetzt wirklich!,1,1
149,@spdde @LadyBitchRay1 Mit der Biologie lässt sich nicht verhandeln.,2,2
150,"@CaineeAndy @Karl_Lauterbach Wo hat das Kind der Taube bitte fast das Genick gebrochen? So ein Unsinn, man kann es auch mit allem übertreiben…",1,1
151,@spdde @CDU @CDU betreiben lieber #wissenschaftsleugnung und #Lobbykuscheln anstatt der Realität ins Auge zu sehen. #NieMehrCDUCSU #NieMehrSPD #LobbyLand #liquidsteuer,1,1
152,Bunt predigen - schwarz marschieren! #SAntifa @spdde @Die_Gruenen @dieLinke #niewiederFaschismus,1,0
153,"@ZwitscherbTwitt @Karl_Lauterbach Das wäre ja dann quasi FFP9 und müsste für einen ""vollständig"" Geimpften genügen ...",2,2
154,@Joerg_Meuthen Um Himmels willen wie soll das nur weitergehen? Diese Partei wird immer abstrakter.,1,1
155,"@hand_aufs_hirn @hubertus_heil @OlafScholz @spdde @RND_de Zum Thema Bildung gehlört zwingend, die Situation an Schulen im Herbst. Nur wenn Inzidenzen niedrig bleiben schützen wir Schüler. Deswegen braucht es Anspruch auf Homeoffice im Herbst, sonst viele  Ansteckungen auf dem Arbeitsweg und in den Büros ( viele Impfdurchbrüche drohen).",2,2
156,@spdde @OlafScholz Stimmenkauf zu Lasten der jüngeren und außerdem sowieso unhaltbar.,1,1
157,"@AuswaertigesAmt @HeikoMaas Bevor in Krisengebieten Impfstoffe geliefert werden, muß die Sicherheit, Organisation, Logistik, Impfärzte, Kühlung usw. sichergestellt sein. Wie wollt Ihr das realisieren und welche Krisengebieten schweben Euch vor?",2,2
158,"@Karl_Lauterbach Herr Lauterbach, Sie haben die Wahl die Fitnessstudios zu öffnen oder das Traineramt des Schalke 04 zu übernehmen!",2,2
159,@elke_andrea @maybritillner @c_lindner @ZDF @OlafScholz @althusmann @claudia_kade @UniJena @Karl_Lauterbach Wer will da sonst hin? Gehirngulasch bei Illner. Diese Sendung gehört abgeschafft.,1,1
160,@Katina_Schubert @EriksonSanne @dielinkeberlin Vielleicht kann sie nur große Koalition...,2,2
161,@Daryoon1979 @MikeHorst12 @SlkXelif @Karl_Lauterbach Sag mal bist du total behindert? Laber mich nicht voll jetzt kommst du in die Blacklist.,1,1
162,"@CaiserRagnar @BMG_Bund @jensspahn Heute wurde zufällig gemeldet, dass J&amp;J Impfstoff ""Jannsen"" zu 90% gegen Delta wirksam sei. Interessant ist dabei eher der Umstand, dass direkt aus Südafrika ziemlich viele Impfdurchbrüche bei J&amp;J vermeldet werden!",2,2
163,@ClausStrunz @Saerdnaya @CDU @cducsubt @BILD Deshalb hat Söder in Bayern der Arsch versohlt bekommen.,1,1
164,@chrisposting @AfD @Wissing @PaulZiemiak @fdp @KASonline Und die Stimmen kann man nicht so einfach kaufen.,2,2
165,@c_lindner Und was erreicht man mit einem Embargo? Das der kleine Mann in Belarus seinen Job verliert und man hofft dadurch das er dann auf die Straße geht? Also heißt es wir entziehen den Menschen die Lebensgrundlage und hoffe auf dem Umsturz? Embargos bringen nichts außer leid.,1,1
166,Es kommt jetzt auf die @fdp an   Aus diesem Grund teile ich ein Interview mit @OlafScholz mit meinem Doktorvater Volker Gerhardt aus dem Jahr 2011 bei @welt   Gegenstand des Gesprächs: #Sozialliberale Träume   Geführt hatte das Interview damals @ulfposh    https://t.co/Sd16lbDEyW,2,2
167,@RolandTichy Mit Raketenantrieb würde es etwas schneller gehen @Markus_Soeder  🤞🤞🤞😉,2,2
168,"@realMaskedDoc @PaulZiemiak @CDU @CSU @ArminLaschet Solange sie da zusammen mit der AfD und der Linken ist, gerne...",0,2
169,@PaulZiemiak @ArminLaschet @larsklingbeil #Ziemiak verteidigt #Laschet - erbärmlich.,1,1
170,@Karl_Lauterbach Man vermutet die neue Variante bereits in Deutschland …genau werden wir das wissen in 14 Tagen ….dann gnade uns Gott …denn die Regierung wird uns nicht helfen .,1,1
171,"@soerenbartol @FalkoMohrs @cdu_thueringen @ArminLaschet Ähm, ihr helft der rechten und korrupten CDU seit 8 Jahren kontinuierlich in der Regierung zu sein. Jetzt tut mal nicht so, als wäre DAS jetzt der Dammbruch, der die CDU schlecht macht.",1,1
172,@Ricarda_Lang @dpa #LaschetVerhindern ist oberstes Gebot! Er wird eine so rückwärtsgewandte Politik machen dass mir bei dem Gedanken übel wird. Greift endlich im Wahlkampf etwas mehr an. Sprecht laut über die Abgründe die sich bei #Laschet auftun!,1,1
173,@StBrandner Arbeiten sie ehrenamtlich?,2,2
174,"@Klimaliste @Die_Gruenen @dieLinke Sie werden wie immer warten, bis es zu spät ist. Und dann panisch irgendwas machen.",1,1
175,"#afd  @AfDVerdachtfall  @OgRD_Buendnis   Leute, ich habe @Alice_Weidel, mit meinen Kommentaren, in ihr Rechtes Herz getroffen. Sie hat mich blockiert.  https://t.co/8NDE1cwNHl",2,1
176,"Im Fall einer Legalisierung von Cannabis würden jährlich über 2,66 Milliarden Euro in die Staatskassen fließen, na, klingt das nicht verlockend? @OlafScholz, @Larsklingbeil, @EskenSaskia, @KuehniKev, @c_lindner, @ABaerbock, @Wissing  #Legalisierung Quelle:  https://t.co/OTNlmOsnwq",2,2
177,@db_qhd @phoenix_de @Die_Gruenen @fdp @spdde @AfD @dieLinke Persönliches Schicksal.,2,2
178,"""Eine Routinetherapie für bakterielle Infektionen nach dem Muster klassischer Antibiotikatherapien werden #Phagen aber in absehbarer Zeit nicht werden. Und vielleicht nie.""  #Antibiotika sind unbedingt in ihrere Wirksamkeit zu erhalten, @Karl_Lauterbach, @cem_oezdemir.",2,2
179,@JohannesNormann @Karl_Lauterbach Einsicht der erste Weg zur Besserung? 🤔  https://t.co/LeEDDND6EO,2,2
180,"@abbiwire @justakidIV @jacky_lope @phoenix_de @AfDimBundestag @helgelindh @spdbt @spdde Denn: Die Menschen funktionieren so nicht. Ihr glaubt, Ihr könntet eine neue Welt mit dem NEUEN MENSCHEN schaffen, nicht die Natur des Menschen berücksichtigend. Beispiel Gendersprache: Kein Schwein, das halbwegs im Leben steht, berufstätig ist (wie ich, nebenbei bemerkt), juckt",1,1
181,"@n_roettgen @CDU Sie haben das *innen bei Konservativen vergessen. Das erwartet uns doch bei der neuen @CDU. Ihr seid doch nur noch die schwarzlackierten Bücklinge einer linksgrünen Politik. Die CDU ist verkauft, verraten &amp; abgewirtschaftet worden. Sie können doch nur noch Konkursverwalter werden",1,1
182,@blubh @mirjana_2011 @jensspahn @rki_de .... wasn das für ne Antwort /Argumentation/ Sinnbild /????? Wieso arbeitest du dich hier so ab?,1,1
183,@ThomasPietsch6 @andreasscheuer @TiloJung @DWD_presse @Amira_M_Ali @DietmarBartsch Er ist eine mieser Typ.,1,1
184,"@elvira_rosert @Die_Gruenen Sososo, all die Fakten, die gegen Baerbock sprechen und vor allem aufzeigen, dass Bü90/Die Grünen nicht wählbar sind, wenn man keine neoliberale schwarze Politik ins Kanzleramt schicken will, sind also ""sich in diversen Abstrusitäten zeigende Angst"". So outet sich die Angst, ⬇️",1,1
185,"@Gottkaiser7 @herthavulkan @schaefer_j @dieLinke @Janine_Wissler Fest steht,es kann nicht so weiter gehen wie bisher. Mensch und Natur haben mehr als genug gelitten.Gerne können Sie sich beteiligen an Ideen zu einem System o Umweltzerstörung,Unterdrückung d  Lohnarbeit,Rassismus,materieller Ungerechtigkeit, Unfreiheit,Chancenungleichheit usw.",1,1
186,@rosenbaumg0 @Des_Roin @spdde @OlafScholz Abwarten. Mit den richtigen Richtern geht das. Irgendwann zählt vielleicht der Vermieter mehr als der Mieter,2,2
187,"@kraipaitschen @OlafScholz @spdde Wirecard , Cum Ex, Ehrlichkeit der war gut😂",0,2
188,@BildungslandNRW Fassungslos   @CDU @spdbt @fdpbt @GrueneBundestag  Aussetzung der Präsenzpflicht bis die Inzidenz unter 10 liegt,1,1
189,@lgbeutin @CDU Ein Politiker sollte nicht mehr verdienen als BIP pro Kopf  im Gegenteil sollte darunter liegen sollte am Mindestlohnsektor hängen und Vermögen eines Politikers wird verstaatlicht!  und wie wunderbar gehts dann unserem Land ohne Schulden zu machen!,1,2
190,@mue_re @JuliaK56390098 @Lambsdorff Wie armselig Sie und der ganze @fdp -Haufen doch sind!,1,1
191,"@xepia_ @Lunaaarv7 @TorstenHoltz @marga_owski @cem_oezdemir Etwas Richtiges nicht tun, weil Andere ihre Jobs falsch machen - ist das Deine Richtschnur für Politik?",1,1
192,"@GreenGerhard @Schietweer @Patrick_Kunkel @ArminLaschet @SZ Das könnte für den Kleintierzüchterverein Birenbach auch zutreffen, trotzdem kann die CDU auch dessen Auflösung nicht verfügen.",2,2
193,Das ist eine unfassbare Entgleisung. Schämt euch @spdbt @UlliNissen  https://t.co/KMXuOWSmWj,1,1
194,Mit einen schönen Gruß an @cem_oezdemir #armut #gruene  https://t.co/EYXHnjMcy1,0,2
195,"Dass die AfD-Gruppen @Die_Gruenen als ihren Erzfeind betrachten, ist schon seit Jahren Strategie der AfD.   02/2021 hat sich sogar eine Kampagnen-Gruppe gebildet. Über 20.000 Mitglieder (Bild 1). Was passiert dort? Es wird gegen alles gehetzt, was die Grünen sagen.   #DieInsider  https://t.co/hASImVRDoO",1,1
196,@maklerpals @Ralf_Stegner @dieLinke @Janine_Wissler @SusanneHennig @CDU Du kennst ihre Vergangenheit? Spricht für sich!,2,0
197,@cem_oezdemir @CSU @fdp Ist ja gar nicht mehr weit bis zum Wirkungsgrad eines Fahrrads: 90 %,2,2
198,@JoanaCotar Das sowieso. Aus Gründen.,2,2
199,"@Peli2017 @PeppermintPett6 @Karl_Lauterbach Beim Thema bleiben und nicht ausschweifen! Ihr Problem, wenn Sie das glauben 🤯",1,1
200,"@phoenix_de @CDU @PaulZiemiak @ArminLaschet @rbrinkhaus @jensspahn @JuliaKloeckner @dguenther @reinerhaseloff Was verstehen diese Leute  (bis auf vielleicht Günther) von Zukunft gestalten? Für die jungen Leute, die die Grünen und FDP  gewählt haben, muss sich hier doch ein Alptraum auftun!",1,1
201,@PreislerKa @h4land @Arnd_Diringer @ATattenberg @Autriche18 @EliyahHavemann @koehler_fdp @Christophgiesa @KonstanzeMarx @Marius_Raabe @LindaTeuteberg @hirzel Das Buch muss ich unbedingt lesen! Interessiert mich wirklich sehr. 😄,0,0
202,"@Karl_Lauterbach Ein letzter.... wie der Wellenbrecherlockdown im November aus dem Lehrbuch. Wenn eine Therapie nicht anschlägt, erhöhen Sie dann auch im Vier-Wochen Rhythmus die Dosis?",2,1
203,Freedom of Speech Versus Identity Politics  https://t.co/2cXjkmoure via @epochtimes  jemals darüber nachgedacht? @HeikoMaas @CDU @cducsubt @cduhessen,2,2
204,@Ralf_Stegner Toll! Null SPD wäre ein guter Anfang.,0,1
205,Wo war da die Hexenjagd? @ManuelaSchwesig @JoachimStamp @ArminLaschet @MpStephanWeil @tobiashans @TschenPe @AndreasBovensc1 @bodoramelow @Tim_Roehn @janfleischhauer @m_grill @anned_schneider @fdpbt @cducsubt @spdbt,1,1
206,@smilingmosquito @nhondong @Bambulk0 @Leonie_3639 @Karl_Lauterbach @JanJosefLiefers Informiert ihr euch eigentlich oder quatscht ihr nur das nach was vom ÖRR kommt. Bevor ihr hier Leute beleidigt und diffamiert nutzt eure Möglichkeiten und blickt mal über den Tellerrand hinaus.,1,1
207,"@ZIGGYDROP @masklin @CDU @spdde @Die_Gruenen @dieLinke @fdp @die_regierung @ABaerbock @Luisamneubauer @saki_statement Was glaubt er eigentlich, wer er ist?",2,2
208,Teile diese Ansicht! Deshalb ein lautes  #NeinZuModellprojekten und #Legalisierung2022 an @sven_giegold @jessi_rosenthal @EskenSaskia @jensteutrine @MarcoBuschmann  @fdpbt @GrueneBundestag @jusos @spdde,1,1
209,@Schmidtlepp @Die_Gruenen Osnabrücker SPD unterstützt Grüne OB-Kandidatin Niermann in der Stichwahl  https://t.co/VZrvYDnGaZ,2,2
210,"@_FriedrichMerz @janboehm @zdfmagazin Herzlichen Glückwunsch, lieber Friedrich Merz, Ihre Wahl ist für mich die beste innenpolitische Nachricht seit 2009! Viel Glück und Fortune!!",0,0
211,"@KatjaMast @spdde @spdbt 1 Monat Nachhilfe kostet bei der Schülerhilfe 120 Euro, wohlbemerkt nur für einen Monat",2,2
212,"@nach_ge_fragt @Karl_Lauterbach Alpha halbiert sich aktuell jede Woche, das führt dazu, dass der Anteil von Delta sich verdoppelt, ohne das es in absoluten Zahlen mehr Infektionen mit Delta werden.",2,2
213,"@CMDRArchadder @Herbert_Diess @POTUS @RegSprecher @ArminLaschet @EskenSaskia @NowaboFM @Joerg_Meuthen @Markus_Soeder @AndiScheuer @ABaerbock @c_lindner @katjakipping Umbau von Fossilen hin zu Grünen Technologien, Wind + Solar decken ohne Probleme den Energiebedarf wenn man nun anfängt konsequent umzubauen.",2,2
214,"@Karl_Lauterbach @maischberger Hab ich mir gedacht.😉  Wir brauchen sicher keinen ""Gesundheitsminister"", der die eigentlichen Probleme nicht erkennt oder permanent umschifft. Vor allem, wenn man bedenkt, dass Sie einer der Verursacher sind. Da würden wir ja den Bock zum Gärtner machen.  https://t.co/1uM9qF1EO2",1,1
215,"Wo sind die Statements und Aktionen der Reichen, deren Firmen von Steuerzahlern gerettet wurden? Wo ist die Unterstützung, auch monetär, für die die nichts mehr haben. Gar nichts! Ihr könntet so viel Leid lindern. #btw21 @fdomig @CDU @CSU",1,1
216,@ElenaGeist @Luisamneubauer @spdde Äh...Ihnen ist aber schon bewusst das eine Verringerung der Co2 Emissionen das Klima nicht aktiv abkühlen soll oder?,2,2
217,"Solange wir massenhaft englische Wörter im alltäglichen Sprachgebrauch verwenden, werden die wenigen -In und -Innen niemanden umbringen @_FriedrichMerz",1,2
218,"@paul_muad @knuff37 @Soulmoth1 @AfDimBundestag @Beatrix_vStorch Nö, er bezieht sich auf deine juristisch unerfahrenen Aussagen und äussert damit Tatsachen ( letzteres ein Begriff, mit dem du erwiesenermassen Probleme hast 🤷🏾‍♀️ ).",1,1
219,@Markus_Soeder @peteraltmaier Und die Kernkraft,2,2
220,"@R_Feuerbach @StBrandner Es wurde und wird bei der illegalen Migration gefakt, beim Klima, bei der Energiewende, bei der Bankenrettung, ..... . Der Regierung und den MSM wird nichts mehr geglaubt.",1,1
221,@lgbeutin @BAntifaschismus @lag_antifa Wie was? Faschismus ist antidemokratisch und eine politische Ausrichtung gegen Antidemokratie will die @cducsubt verbieten? Haben die eine AfD rechts überholt oder vor der Bundestagswahl Stimmenhascherei bei Faschisten?,1,1
222,"@BMG_Bund @jensspahn Hallo Herr Spahn, Ich bin Diabetiker, habe Nervenschäden in Beinen und Armen, und chronische Depressionen. Wie soll ich die nächsten Wochen überstehen, dies ist eine ernstgemeinte Frage, Ich bin langsam mehr als verzweifelt sagen Sie wie Ich mit Hartz 4 Corona schaffen soll.",1,1
223,@cAPSLOCKcHRIS @larsklingbeil @borispistorius Hirn anstrengen.,2,2
224,@twittuab @ABaerbock @Janine_Wissler @SusanneHennig @katjakipping Dieser Kommentar ist noch so viel unbedachter als Frau Baerbocks Glückwünsche,1,1
225,"@TiloJung @GordonRepinski @spdde Worüber denn sonst?  60€/Flug nach Malle für max. 50 Passagiere?   Das müsste dann eine staatliche Airline sein, die maximal subventioniert werden müsste, und das nicht nur, wenn eine pandemische Notlage besteht, sondern die gesamte Zeit über.",2,2
226,"@JoanaCotar Ist es strafbar, wenn man sie als Sprechpuppe der Regierung bezeichnen würde, also rein theoretisch?",1,2
227,"@CorneliusRoemer @jensspahn Verstehe ich das so richtig: Die Zahlen drohen saisonbedingt zu sinken, und der Bundesregierung fehlt die ""evidente"" Rechtfertigung (oder Ausrede) für die weitere Verlängerung des laut ZDF so populären Lockdowns bis zur Bundestagswahl.",2,2
228,@Luhmi3 @Beatrix_vStorch @SteinbachErika Du hast doch den Nutzungsbestimmungen von Twitter freiwillig zugestimmt.,2,2
229,"@MiKellner ""Unbeliebt"" ist noch sehr sehr freundlich ausgedrückt - und das hört man hier andauernd von seinen ehemaligen Wählern. Mit ganz anderen Worten.",1,1
230,"@GrutterStephan @HBraun Habe Helge Braun nicht kontinuierlich gelesen. Es befremdet mich der Umgangston auf diversen Listen dennoch -- etwas anders, wenn man sich ""kennt"" und weiß es einzuordnen. Aktuell für mich eher ""Hintergrundgeräusch"", ohne viel Nach-Recherche.",1,1
231,"@darlyn1108 @CDU Historisch verloren, und jetzt mit dem kümmerlichen Rest auch noch quotentechnisch unzufrieden?",1,1
232,@jensspahn @CDU @_FriedrichMerz @MarioCzaja Schon darüber informiert?   https://t.co/ZrzlVoDBhz,2,2
233,"@uwefelber6 @OlafScholz Hier ändert Sprache sich nicht natürlich aus der Summe der Muttersprachler, sondern eine kleine Minderheit vor allem in Politik und Medien versucht eine ideologische und sinnlose Fantasiesprache durchzudrücken",1,1
234,@afd_wallduern Mit keinem Wort fordert er dieses Sperren aber wieder typisch @AfD  lügen verbreiten.,1,1
235,@SebastianHolze2 @JrgKeller5 @c_lindner Dürfen wir teilhaben?,2,2
236,"@larsklingbeil Wo nehmen Sie nur die Zeit für solch einen Tweet her, Herr @larsklingbeil? Ihr kümmert euch doch sonst immer nur um die wirklich wichtigen Probleme in diesem Land. 😂  https://t.co/LxMlURRfJN",2,1
237,"@Karl_Lauterbach Mutationen wird es immer geben, wir werden damit leben müssen, auch wenn sich viele weigern, sich dieser Tatsache zu@stellen",2,1
238,Nicht umsonst haben die Parteien @dieLinke und @Die_Gruenen mit Abstand den größten Zuwachs an Jungen Erwachsenen.,0,2
239,"@CDU Warum keine Rentenerhöhung im Westen in diesem Jahr??? Hauptsache die Diäten werden automatisch erhöht, eine Schande!!!",1,1
240,@BriHasselmann @PaulZiemiak @CDU @KonstantinNotz Wie wärs vorab mal mit dem aufräumen der eigenen Baustellen? #Baerplag,1,2
241,"@FrankieLix2020 @andfra9 @GoeringEckardt @ABaerbock @OlafScholz @spdbt @GrueneBundestag @fdpbt @LieblingXhain @ninastahr Ist doch egal, was das RKI sagt, weil....  Ja, FDP, SPD &amp; Grüne, warum eigentlich? Wir Eltern warten immer noch auf eine Erklärung, warum ihr unsere Kinder durchseuchen wollt. Besonders schön wäre eine stichhaltige &amp; plausible Erklärung.",1,1
242,@sunny_sommer @_FriedrichMerz #wegenmorgen #TeamCDU   Klarer Kurs und Klare Sprache. Keine Alternativlosigkeit.,0,1
243,@Karl_Lauterbach Was Ihnen widerfahren- widerfährt uns so ebenfalls. Null Toleranz.,1,1
244,"@Markus_Soeder Warum sind Sie Herr @Markus_Soeder nicht Kanzlerkandidat geworden…? Wären Sie der Kandidat, würde es nicht so schlecht für @CDU und @CSU stehen… 😉⚙️⚓️⚙️",1,1
245,"@S_L_A_R_dottir @Tino_Chrupalla ""Ihr "" Phrasendrescherin",1,1
246,@Maximnoise2021 @oida_grantler @Karl_Lauterbach Wann bringt mir Lauterbach endlich meine Currywurst mit Blattgold?!,2,1
247,@JVos63 @FeynmansMethod @SimeonPreuss @S4F_AT @s04paps @fwieschollek @energy_charts_d @energy_charts @MoormannRainer @OliverHaas19 @c_lindner 1 min zu langsam.... du warst schneller 😉,2,2
248,"@Marc_303BK @robilad @florian_krammer @Karl_Lauterbach Behauptung kommt von KL (-&gt;Beweislast). Er warnt einerseits davor, dass die zahlreichen Mutationen am Spike-Protein zu einer ""Durchbruchsvariante"" führen, aber sobald man den Impfstoff zum dritten Mal impft, gibts dann plötzlich keinen Durchbruch. Quellen?",2,1
249,"@EllenDemuth @ArminLaschet Nachtreten war nie gut, ist nie gut und wird es nie sein. Sie hätten Ihre Kritik VOR der #btw2021 äußern sollen - weit vorher. Ist wohl ausgeblieben. @CDU @cducsubt #CDU",1,1
250,"@leonie_stella9 @Karl_Lauterbach Erledigt, das ist ja WIDERLICH🤮",1,2
251,"@ZDF Die @spdde macht es vor wie man die Linke aus dem Bundestag bekommt. Nun muss die @cdu mit der #noAfD nachziehen und endlich wieder “Klientelpolitik” (im besten Sinne) betreiben. Nur durch konservative Politik, kriegen wir Nazis wieder raus: indem wir die Partei halbieren #btw21",1,1
252,"@berndulrich @ArminLaschet @Markus_Soeder Der Politik vorzuwerfen, sie operiere im Spiegel der Öffentlichen Meinung (d.h. der Massenmedien) funktioniert ja nur, wenn sich die Redaktionen der Öffentlichen Meinung die Kriterien ihrer Spiegel-Konstruktion reflektiert vor Augen führen.",2,2
253,"@AntBerx @_MartinHagen @fdp @c_lindner der ist gut :) ""Dem Geld darf man nicht nachlaufen, man muss ihm entgegengehen."" #AristotelesOnassis",0,0
254,"@Anemalon19 @AfD_Muenster @Schneider_AfD @AfD_GE @AlternativeNRW @klausesser_nrw @DrMEspendiller @KayGottschalk1 @MdB_Lucassen @AfD @AfDWahlkampf Auf den Dokumentarfilm ""#Bundestag"" freue ich mich schon jetzt, aber am 15.09. kann ich leider nicht. Werde aber Münsteraner Freunde dafür mobilisieren. Der Film zeigt, wie heute Politik gemacht wird, wie komplex die dahinterliegenden Abläufe und Formalien sind. 23:45 Uhr im rbb!",0,2
255,"@_tho_ @Elektro_Robin Bei Kamelien muss man tatsächlich warten, bis sich was tut. Bei der. #KlimakriseISTJETZT hätte man schon vor 30-40 Jahren beginnen müssen mit dem Tun. Noch länger warten verschlimmert alles nur. Oder habe ich was falsch verstanden Herr @ArminLaschet?",1,1
256,"@Karl_Lauterbach @EricTopol ""Da geimpfte Infizierte sehr ansteckend sind..."" Warum sind geimpfte infizierte sehr ansteckend? 😳",2,2
257,"@Die_Gruenen Mal sehen, wie sich #DieGrünen als BuReg zu den Atomfabriken Gronau &amp; Lingen, Atommüll, Euratom, EU-Taxonomie verhalten. Frau Peter ist übrigens die einzige Politiker*in, die mich geblockt hat. Außer André Pog/gen/burg. Das war der Nazi-Typ, der selbst den AfDNazis zu rechts war.",1,1
258,@Beatrix_vStorch Die AfD belügt die Menschen seit ihrer Gründung und die AfD ist eine Partei der Rechtsextremen. DAS ist die Wahrheit.,1,1
259,"@annegretme @MarkusBlume @OlafScholz @handelsblatt Unser ""Söder-Supermann"" haut auch mal wieder nur eigennützige Sprüche raus, helfen tuts auch nicht. Von mehr Machdemonstration durch mehr Polizeipräsenz in Münchens Strassen wird es auch nicht besser. Methoden aus Zeiten der Cholera ...",1,1
260,@Alice_Weidel Dann schmeißen wir alle mit einem Knacks aus Deutschland und fangen mit der AFD an 🤔🤔,1,1
261,@EnzoMorricone @schneckenfan1 @Markus_Soeder @ArminLaschet Wann hat Lanz Lasset ausgelascht?,2,2
262,"@Karl_Lauterbach Es gibt einige wenige Fälle von langfristigen Impfnebenwirkungen, aber nicht KEINE",2,2
263,"@Venora_Khoon @Notabaris @Alice_Weidel @MartinDE21 @jensspahn @FranziskaGiffey @GoeringEckardt @c_lindner @DietmarBartsch @dieLinke Und den Schwachsinn soll ich glauben oder was? Hier geht es um die unwählbare Partei AfD, und nicht um die Pride Flag in meinem Namen die symbolisiert, dass ich die LGTB Gemeinschaft unterstütze und selber ein Teil davon bin.",1,1
264,@BuchinSwantje @Susa512 @Gedanken_Denker @jensspahn @Karl_Lauterbach Die Vorerkrankung war die Impfung.,1,2
265,@BR24 @sarfeld Die CDU/CSU ist KORRUPT @hahnflo @MarkusBlume,1,2
266,"@Karl_Lauterbach @WHO weiß man schon, ob weihnachten mit der familie verbracht werden darf, oder finden fußball-sonderspiele statt, um die feierlichkeiten ins stadion zu verlegen?",2,2
267,"@spdde @FranziskaGiffey Ostdeutscher Migrationshintergrund - jetzt schlägt es aber 13, da wird ja deutlich, für diese SPD sind wir Migranten keine Staatsbürger !!!!",1,1
268,@ArminLaschet Wir dürfen nicht länger tatenlos zuschauen wie Palästina zu einem Land totaler Hoffnungslosigkeit wird.#Palaestina,1,1
269,"@nomnomcookieez @cem_oezdemir Das kommt aber unter anderem auch davon, dass er überall mitmischen will und seinen 🧀 dazu gibt.",2,2
270,@KathaSchulze Schulen u Kitas zu!  https://t.co/0MutW8jLyZ,2,2
271,"@Joerg_Meuthen Läuft das dann so gut wie mit den #ERollern, die massenweise im Rhein versenkt werden?  Die Chemikalien der Akkus verschmutzen übrigens die Gewässer und wen wundert es jetzt noch, dass Köln von den #Grüne|n regiert wird?   https://t.co/NPw9U2dZ0M",1,1
272,@Karl_Lauterbach Hier eine Meldung aus Griechenland. Der Großteil der intubierten Patienten ist dort zwischen 35 u. 50 Jahre alt.   https://t.co/ya0mXVOcE1,2,2
273,@Die_Gruenen so schwarz.,2,2
274,@TheDauerZocker @Junge_Union Verstehe. Tweet ist gelöscht.,2,2
275,@KristinaBlum20 @KonstantinNotz Bitte lesen Sie nicht Focus.,2,1
276,@Karl_Lauterbach Warum setzt man sich dann nicht gegen Massentierhaltung und Überfischung der Meere ein und erhöht den Preis für tierische Produkte und senkt den Preis für Alternativen?,1,2
277,@Markus_Soeder Vorstellung vs. Realität  https://t.co/Rp7e3GLbDg,2,2
278,@LarsWienand @FAHarms @TKummert @PaulZiemiak Aber immerhin hat er doch gegendert .... 🤷🏻‍♀️🤦🏻‍♀️,2,2
279,"@MartinMMMB @c_lindner @fdpbt Das ist tragisch. Ironischerweise auch ein Argument gegen Impfungen.  Nichts desto trotz ist es Aufgabe der Politik Perspektiven aufzuzeigen, zu gestalten, statt im ständigen ""Durchhalten!"" zu verharren.",1,1
280,@OlafScholz @spdde @AndreasStoch @spdbawue 😂 ich denke die Menschen machen sich mehr Gedanken über Arbeitsplätze ... Autoindustrie Herr Scholz. Mal in der Realität ankommen und nicht aus dem Elfenbeinturm runterglotzen.,1,1
