,Embedded_text,majority_sentiment
289,"Luca Köpping @LucaKoepping  · 29. Nov. 2021 Der Koalitionsvertrag von @spdde @Die_Gruenen & @fdp zum Nachhören:  Ich habe mein Wochenende genutzt und den Koa-Vertrag zum Großteil als Podcast aufgenommen. Für viele ist das vielleicht ein besserer Weg, als 180 Seiten zu lesen.  https://open.spotify.com/show/46SdumCfGHQP9L0a7OSzMJ?si=a605aace7d9a4c44… Diesen Thread anzeigen 3 6 25",3
291,"Die #Union ist mit dem Wahlergebnis vom 26. September ein insolvenzgefährdeter, schwerer Sanierungsfall geworden. (tm) #DLT #dlt21 975 465 3.199",2
292,"Stegner: ""Die jetzigen Gestaltungschancen kriegt man kein zweites Mal"" | http://NDR.de - Nachrichten - NDR Info ndr.de NDR Info - Die Nachrichten für den Norden Die Nachrichten für den Norden: Das ist NDR Info - im Fernsehen, Radio, Web und als App. Außerdem: Kommentare und exklusive Recherchen, Radio im Livestream und aktuelle Videos. 7 1 6",3
293,"TAZ empfiehlt  @Die_Gruenen  ziemlich direkt  @ABaerbock  durch #RobertHabeck auszutauschen. Soll das richtige Antwort auf eine solche Kampagne sein? Bei  @ABaerbock  war sicher manches unglücklich,aber war es nicht Habeck, der deutsche Waffenlieferungen an die Ukraine gefordert hatte? 71 14 35",2
294,"„Ich stimme dem zu, was  @jensspahn  heute im #Bundestag gesagt hat: Wir müssen jetzt in #Deutschland so schnell wie möglich so viele Menschen wie möglich gegen #Corona #impfen.“ (tm) #Merz #Lanz 343 94 567",3
295,Guten Morgen aus Bordesholm. Mein Musiktipp für Euch da draußen im digitalen Orbit ist von  Fury In The Slaughterhouse - Time To Wander Schönen Mittwoch und passt auf Euch und Eure Lieben gut auf  https://youtube.com/watch?v=qk7Xt4X0qyw&feature=share… 7 3 13,1
296,"Union und SPD haben diese Woche eine abschließende Beratung zur Aufnahme der ""sexuellen Identität"" in #Artikel3 GG verhindert, weil sie im #Bundestag keine Position beziehen wollten,  Nur mal so für all die #Seeheimer, die sich über Enthaltungen beschwert haben. 9 29 205",3
297,"""Wir wissen, dass der #Liberalismus ein Grundpfeiler der #Zukunft sein kann, wenn wir es wollen, und dass er es sein wird, weil wir es wollen.""  @ArnoEsch  Heute vor 70 Jahren wurde dieser mutige Streiter für die #Freiheit in Moskau hingerichtet.  @gegenvergessen  @DtGesellschaft 6 26 162",3
298,"Der #Riester-Murks ist ein milliardenteures Grab, das die Menschen nicht vor Altersarmut schützt, sondern ihnen ein dickes Minusgeschäft beschert. Die verkorkste Teilprivatisierung der Rente muss gestoppt werden. Wir brauchen eine solidarische gesetzliche #Rente für alle. Die Nachrichten @DLFNachrichten  · 11. Mai 2021 ""Neuanfang nötig"": 20 Jahre nach dem Beschluss zur Einführung der Riester-Rente fordert eine Verbraucherallianz das Ende dieser privaten Altersvorsorge. https://deutschlandfunk.de/private-altersvorsorge-verbraucherallianz-fordert-stopp-der.1939.de.html?drn:news_id=1257963… 14 47 228",2
299,". @NiemaMovassat : Linksfraktion hat gegen #Infektionsschutzgesetz gestimmt, insbesondere weil sie Ausgangssperren für nicht erforderlich erachtet. AfD macht mal wieder Theater, um für ihre handwerklich schlechte und inhaltsleere Verfassungsklage zu werben. youtube.com Niema Movassat, DIE LINKE: AfD-Show stoppen! 06.05.2021 - DIE LINKE hat gegen die Änderung des Infektionsschutzgesetzes durch das Vierte Bevölkerungsschutzgesetz gestimmt, insbesondere weil sie Ausgangs... 4 3 31",2
301,"„Nach einem Gespräch ‚betreffend einer freiwilligen Ausreise’ seien sie verschwunden: ‚Wir haben keine Idee, wo sich die Familie jetzt befindet.‘... Gegen die Eltern des Mädchens wurden keine Ermittlungen wegen Vortäuschens einer Straftat eingeleitet.“ bild.de Drohungen gegen Erzieher: Polizei sucht Eltern nach erfundenem Missbrauch 2020 behauptete eine muslimische Mutter, ihre Tochter sei vergewaltigt worden – frei erfunden. Nun sucht die Polizei die Familie. 13 24 52",2
302,"Bin seit Kindheit Fan von Marvel-Comics, neben Spiderman besonders Avengers wie Captain America #ZeigtHerEureTassen 561 145 1.743",3
303,Mit Pfeil und Bogen: #Islam-Konvertit ermordet in #Norwegen fünf Menschen! #Kongsberg   Mehr erfahren:  https://afdkompakt.de/2021/10/14/mit-pfeil-und-bogen-islam-konvertit-ermordet-in-norwegen-fuenf-menschen/… #AfD 69 128 489,2
305,Deshalb muss Peter Altmaier gehen! #Coronahilfen 4 26 137,3
306,"Die #Gensequenzierung nach positivem #Corona -Test wird jetzt Pflicht. Jetzt, nicht vor Monaten. Schwache Arbeit  @BMG_Bund 5 6 66",2
308,Hier kann man übrigens alle fünf Minuten aktualisieren drücken und schauen ob es ein Grünes Direktmandat in #München gibt https://wahlen-muenchen.de/ergebnisse/20210926bundestagswahl/… #btw21 11 12 104,3
309,Ausreichend Impfstoff für rasche Impfung+ Immunisierung großer Teile der Bevölkerung gegen Coronavirus ist buchstäblich Frage von Leben und Tod. Miese Verträge+Versagen der Pharmaindustrie konterkarieren brillanten Forschungserfolg. Spahn muss Impfversprechen bis Sommer halten! 19 4 16,2
310,"Herzlichen Glückwunsch, liebe  @LydiaHueskens !  #vielzutun FDP Sachsen-Anhalt @FDP_LSA  · 24. Juli 2021 dpa: Hüskens mit 97 Prozent zur FDP-Landeschefin gewählt  https://gmx.net/magazine/regio/sachsen-anhalt/hueskens-97-prozent-fdp-landeschefin-gewaehlt-36023320… 1 1 41",1
311,"Oh ja! 2021 wird entscheidend für  so vieles: konsequenter Klimaschutz und die ökologische Modernisierung der Wirtschaft,  soziale Gerechtigkeit, gleiche Rechte und Chancen für Frauen, die Verteidigung der Demokratie und ein starkes Europa! Let`s do it!  Aminata Touré @aminajxx  · 16. Jan. 2021 Ich hab ehrlich richtig Bock auf Wahlkampf, wenn ich mir das so angucke.   Ehrlich   Ich hab Bock dem was inhaltlich entgegenzusetzen.   #cdubpt21 14 54",1
312,"Zum erbärmlichen Zustand der #Meinungsfreiheit im #Altparteienstaat: „Ex-Nationalspieler versteht Wirbel für Kritik an Virus-Maßnahmen nicht“ focus.de Ex-Nationalspieler kritisiert scharfe Corona-Maßnahmen - und versteht den Wirbel nicht Als Fußball-Profi wird Carsten Ramelow 2002 Vize-Weltmeister mit der Nationalmannschaft, nun sorgt er mit Kritik an den Corona-Maßnahmen in Deutschland für Wirbel. Auch zu den Reaktionen bezieht er... 48 43 152",2
313,"Ich bin erschüttert über das Ausmaß der Überschwemmungen und die vielen Toten und Vermissten. Meine Gedanken sind bei den Betroffenen und allen, die an der Rettung von Menschen beteiligt sind, den Freiwilligen und Einsatzkräften, die unermüdlich und unter hohem Risiko arbeiten. 9 53 444",2
314,"Presseinfo @kleikert :  Jetzt muss Johnson Farbe bekennen cducsu.de Jetzt muss Johnson Farbe bekennen Der Vizepräsident der EU-Kommission, Maros Šefčovič, hat am gestrigen Mittwoch die Kompromissvorschläge der EU zur weiteren Anwendung des Nordirland-Protokolls vorgestellt. ... 2 7 12",3
317,"Generation Pandemie oder Generation Empowerment - Bei einem digitalen Talk haben SPD-Chefin  @EskenSaskia   und Juso-Chefin  @jessi_rosenthal  über die Hoffnungen, Sorgen und Wünschen junger Menschen diskutiert.  spd.de „Generation Empowerment“ Saskia Esken rückt die Situation junger Menschen in den Mittelpunkt: ihre Hoffnungen, Sorgen und Wünsche. 27 12 76",3
318,"Morgen geben wir in Bochum ab 11 Uhr den Startschuss für die heiße Wahlkampfphase!  Seid live dabei:  https://link.spd.de/bochumtw  Vorab gibt's schon einen sozialdemokratischen Gruß von Sebastian Ströbel, der nicht nur Schauspieler (""Die Bergretter""), sondern auch Genosse ist! 13 23 109",3
319,"Gute Beratungen Euch! #DLT21 JU Deutschlands @Junge_Union  · 17. Okt. 2021 Guten Morgen, nach einer tollen Münsteraner Nacht starten wir gleich mit dem letzten Tag des #DLT21. Mit dabei sind heute u.a. @rbrinkhaus und Karl-Josef #Laumann. Wir sind bereit! 2 1 17",1
321,"Ganz herzliche Grüße an deine Oma, lieber  @Alexander_Tietz  - richte bitte einen herzlichen Gruß aus und großen Dank an Sie für das Vertrauen in uns  @Die_Gruenen   #AllesIstDrin Alexander Tietz-Latza @Alexander_Tietz  · 27. Aug. 2021 Auch wenn die Kamerasituation ungewohnt ist, wollte meine Großmutter -101 Jahre jung- unbedingt einen kurzes Video zur Wahl sprechen.  Gerne teilen, es wird auch nicht gesungen;-)  #AllesIstDrin #diesmalgruen #longevity   @GrueneAlte @Die_Gruenen @gruenenrw 68.222 Mal angezeigt 0:04 / 0:31 7 17 187",1
322,Das war der  @kaiwegner  ... 8 10 73,3
323,"Ich freue mich sehr auf diese wunderbare Gesprächsrunde bei der  @StiftungTrott . Wieviel Vielfalt ist möglich? Wieviel Gemeinsamkeit nötig? In Deutschland und Europa. Seid mit dabei! Stiftung Adam von Trott @StiftungTrott  · 11. Aug. 2021 Heute ab 18 Uhr übertragen wir in Kooperation mit @uniGoettingen live aus Imshausen die Podiumsdiskussion ""Ost und West in Deutschland und Europa"" mit Wolfgang Thierse, @AHilbrenner und @MiRo_SPD. Moderation: Holk Freytag https://youtube.com/watch?v=GZ55ice7KKA… 1 1 13",1
324,"""Wir werden noch im kommenden Jahr ein Klimaschutzsofortprogramm auf den Weg bringen"", sagt  @ABaerbock  im Interview mit  @FunkeBerlin . waz.de Grünen-Chefin Baerbock warnt vor Streit um Finanzministerium Annalena Baerbock geht selbstbewusst in die Ampel-Koalitionsverhandlungen. Lesen Sie hier, warum sie eine schlimme Befürchtung hat. 127 63 497",3
326,Wir bei der  @fdp_nds  freuen uns über den stetigen Zuwachs an neuen Mitgliedern  Das ist eine großartige Motivation für die Kommunalwahl am 12. September  uelzener-presse.de Mitgliederrekord bei der FDP Niedersachsen NIEDERSACHSEN. Die Freien Demokraten Niedersachsen verzeichnen einen Mitgliederrekord. 6500 Bürgerinnen und Bürger sind stand heute Mitglied bei der FDP Niedersachsen. Damit hat der Landesverband d… 6 99,1
327,"Ein Forscher der Leopoldina fordert, dass künftig bei Triage der Impfstatus über Leben & Tod mitentscheiden soll! Wirklich erschreckend. Ein Impf-Apartheids-System ist absehbar. Wir von der #AfD stemmen uns gg. jegl. #Impfpflicht & Grundrechtsbenachteiligungen für #Ungeimpfte! 46 166 519",2
328,"Gleich hält  @lofferg  seine erste Rede im Bundestag  Große Freude  Christopher Gohl @lofferg  · 5. Mai 2021 Das ging jetzt schnell... Ich freue mich, heute für die @fdpbt zum Gesetzentwurf der BReg zur Förderung sauberer und energieeffizienter Straßenfahrzeuge und dem sehr guten Antrag meines Kollegen @OlliLuksic zu nachhaltiger Mobilität durch mehr Innovationen zu reden. 2 2 41",1
329,"Wenn Du per #Brexit die Osteuropäer aus Deinem Land verjagst, die die LKWs fahren, und Du Dich hinterher wunderst, dass die Regale leer bleiben und Dir der Sprit ausgeht. Nationalisten aller Länder sind Idioten, die dem eigenen Land Schaden zufügen! https://amp.welt.de/wirtschaft/article234005070/Tankstellen-ohne-Benzin-und-DIesel-Grossbritannien-geht-der-Sprit-aus.html?__twitter_impression=true… 50 98 1.061",2
330,"Ich finde es wirklich dramatisch, wie ignorant die Bundesregierung gehandelt hat und wie krass sich das eben auf die ganz konkrete Situation und extreme Gefährdung konkreter Menschen, zum Beispiel vieler Frauenrechtlerinnen auswirkt Agnieszka Brugger @agnieszka_mdb  · 6. Sep. Eine weitere von vielen, eine ganz besonders brisante & gewichtige Warnung vor den dramatischen Entwicklungen in #Afghanistan. Von den billigen Ausreden der Bundesregierung, man hätte nichts wissen & tun können, bleibt nix übrig. Untersuchungsausschuss! https://spiegel.de/politik/deutschland/afghanistan-geheimer-kabelbericht-warnte-frueh-vor-kollaps-in-kabul-a-77ffb461-ace7-43e3-9b51-cc5758aae5d5?sara_ecid=soci_upd_KsBF0AFjflf0DZCxpPYDCQgO1dEMph… 8 6 52",2
331,Von Herzen Danke an meine  @fdp_nrw  - für die starke Wahl auf Platz 5 der Landesliste für den Deutschen Bundestag. Ich habe richtig Bock auf diesen Wahlkampf. Lasst uns gemeinsam Vollgas geben für gestärkte Freie Demokraten!   @fdp 29 17 467,1
333,"Weiter geht es mit unseren Landesvorstandswahlen beim #lpt21! „Wir haben großartige Inhalte. Ich will daran mitarbeiten, unsere Positionen noch deutlicher zu vermitteln“, so z.B.  @DjirSarai  in seiner Video-Bewerbung zum Beisitzer. 2 16",1
335,"Wir brauchen eine dauerhafte Reduzierung der Mehrwertsteuer für die Gastronomie und eine zusätzliche Ermäßigung für regionale Lebensmittel. Damit unterstützen wir die heimische Landwirtschaft und es ist auch für den Klimaschutz gut, wenn Regionales günstiger ist als Importware. 291 77 807",3
336,"Horror! In Gedanken bei den Angehörigen und Freund*innen des Ermordeten. Die Corona-Leugner Szene radikalisiert sich immer mehr, von Worten kommt es zu Taten. Klare Kante ist gefragt! Süddeutsche Zeitung @SZ  · 20. Sep. 2021 Rheinland-Pfalz: Mann erschießt jungen Tankstellen-Mitarbeiter nach Hinweis auf Maskenpflicht https://sz.de/1.5416362?utm_source=Twitter&utm_medium=twitterbot&utm_campaign=1.5416362… 4 5 86",2
337,"Wer auf #Synagogen marschiert oder sie angreift, lässt einfach nur seinem #Antisemitismus freien Lauf und ist ein Fall für die Staatsanwaltschaft. Für diese unerträglich antisemitischen Angriffe kann es weder eine Rechtfertigung noch Entschuldigung geben.  #Gelsenkirchen 5 22 118",2
338,"Eine weitere #GroKo wäre ein großer Schaden für Deutschland und seine Demokratie. Das schlechteste Regierungsmanagement aller Zeiten muss enden. Für eine neue Regierung aus der Mitte für die Mitte! Dafür  @fdp ! BILD @BILD  · 17. Sep. 2021 „Wenn Armin #Laschet am Ende nur die Möglichkeit hat, eine Koalition mit der #SPD zu formen, dann macht er das“, sagt @ronzheimer bei #ViertelNachAcht. „Man wundert sich ja, dass er überhaupt noch den Satz herausbekommt 'Ich will Bundeskanzler werden'.“ #BILDLive #btw21 13 9 120",2
339,#Ostdeutsche sind bei allen Fortschritten auch 30 Jahre nach der #Einheit vielfach Bürger zweiter Klasse. #Ostdeutschland hat den größten Niedriglohnsektor Westeuropas. Die neue #Bundesregierung muss Löhne und Renten zwischen Ost und West zügig angleichen und insgesamt anheben. 48 41 231,2
340,"Wie im #Sozialismus… MDR AKTUELL @MDRAktuell  · 18. Okt. 2021 Nicht genug Papier für Bücherdruck: Rohstoffknappheit trifft auch Verlage. Verlagschef von C.H. Beck sagte dem ""Handelsblatt"", bei vielen Büchern sei vor Weihnachten kein Nachdruck mehr möglich. 69 19 99",2
341,Freue mich über die Wahl auf Platz 9 der Landesliste. „Wir brauchen Mut statt Wut. Wir brauchen das Vertrauen in den Einzelnen statt die Verwaltung von Misstrauen. Und Deutschland braucht einen Verteidiger von Freiheitsrechten gegen den Wettbewerb der Verbotsparteien.“ #LWV 23 14 287,1
342,"Ich bin ja jetzt politisch klar zu verorten. Das Fingerzeigen, angesichts der Fehleinschätzungen bzgl der Lage in #Afghanistan, innerhalb der Bundesregierung, nervt mich allerdings auch. Das allein zeigt ja anscheinend mangelnde Koordinierung. 4 4 11",2
343,"Es gibt keinen Gegensatz zwischen Datenschutz und moderner Politik, die daten-, also faktengetrieben agieren muss. Denn Datensparsamkeit meint personenbezogene Daten. Die braucht und will man gar nicht für datengetriebene Politik. Es geht um anonyme und aggregierte Daten. FAZ Wirtschaft @FAZ_Wirtschaft  · 6. Aug. 2021 Forschern stehen in Deutschland zu wenige Daten zu Verfügung. Die Politik kann deshalb gerade in Krisenzeiten nicht zielgenau reagieren. Andere Länder machen vor, wie es geht. Von Regina T. Riphahn, @BachmannRudi und @APeichl http://faz.net/aktuell/wirtschaft/corona-steuern-arbeitsmarkt-wir-brauchen-bessere-daten-17471899.html… 5 37",3
345,"Autohändler  @wdwarncke  zur Frage, ob er mit Diesel & Benzinern nicht mehr verdienen würde: „Noch, ja. Aber es nutzt ja nichts, wenn wir an einer sterbenden Technologie festhalten und nicht rechtzeitig auf das Kommende setzen.“ https://wiwo.de/unternehmen/auto/pro-und-contra-elektroauto-vws-radikaler-e-auto-kurs-entzweit-die-eigenen-haendler/27071906.html… Stefan Hajek @Stefan_Hajek  · 7. Apr. nach meiner Geschichte ""VW Händler wollen keine #Elektroautos verkaufen""   meldeten sich zahlreiche Händler bei mir.  habe nun einen exponierten E-Auto-Fan  und einen Skeptiker gesprochen:  [mini Thread]   https://wiwo.de/unternehmen/auto/pro-und-contra-elektroauto-vws-radikaler-e-auto-kurs-entzweit-die-eigenen-haendler/27071906-all.html… Diesen Thread anzeigen 11 9 106",3
347,"Pressemitteilung Der #Bundestagsausschuss für Kultur und Medien hat ein Fachgespräch zur #Geschlechtergerechtigkeit im Kulturbetrieb durchgeführt. Dazu erklären  @ElisabethMotsc1  +  @YvonneMagwas : ""Künstlerinnen sind nach wie vor benachteiligt"" cducsu.de Künstlerinnen sind nach wie vor benachteiligt Der Bundestagsausschuss für Kultur und Medien hat am gestrigen Mittwoch ein Fachgespräch zur Geschlechtergerechtigkeit im Kultur- und Medienbetrieb durchgeführt. Dazu erklären die kultur- und... 1 3 5",3
348,"Wenn Sie  @ArminLaschet  wählen, können sie sich sicher, dass mit der AfD keine Gespräche, Kontakte oder Koalitionen in Frage kommen. Da gibt es eine klare Linie!  @ArminLaschet  @Pro7  #P7Spezial 1.244 256 636",3
349," Starten Sie mit uns die #AfD-Spendenrakete ""Aktion für #Deutschland""! #btw21 Unser Wahlkampf braucht Schub! #abernormal Stand 02.06.2021: 80.244 € JETZT unterstützen:  http://afd.de/spenden 13 31 98",3
350,"Wir freuen uns sehr über den gewaltigen Zuspruch! Und jeder, der es Herrn Schröder gleichtun möchte  https://csu.de/online-mitgliedschaft/… Andreas Hallaschka @Hallaschka_HH  · 30. Apr. 2021 Da hat es der @KarstenSchrder doch tatsächlich von Twitter bis in @derspiegel geschafft. Als Neumitglied der @CSU aus Schleswig-Holstein. Das geht jetzt bundesweit  #BTW21  twitter.com/MarkusBlume/st… 10 9 44",1
351,"Mohammed-Karikaturen: Migrationsforscher warnt vor falscher Rücksicht jungefreiheit.de Mohammed-Karikaturen: Migrationsforscher warnt vor falscher Rücksicht Der Migrationsforscher Ruud Koopmanns hat im Umgang mit Mohammed-Karikaturen vor falscher Rücksichtnahme gewarnt. Hintergrund ist eine Warnung des hessischen Kultusministeriums vor möglichen Folgen,... 1 17 47",2
352,"Feindbild bei  @Bild  und Dr. Freud lässt grüßen - Nena Schick sagt im ersten Anlauf ""Angela"" zu  Annalena #Baerbock. Übermedien @uebermedien  · 25. Juni 2021 Heute ist ein „großer Tag“ für @Bild-Politikreporterin Nena Schink, weil laut @Bild-Umfrage endlich die große Baerbock-Angst in Deutschland ausgebrochen ist. #Baerbock als Kanzlerin wäre nämlich „der direkte Weg in die Planwirtschaft“. #bildlive #foxnewslive Diesen Thread anzeigen 1:10 146.072 Mal angezeigt 11 6 70",3
353,"Freue mich sehr, dass die Schulen in Bremen und Bremerhaven mit dieser Karte zum Schulstart alle Erstklässler-Eltern zu unserer Elternschultüte informieren, die hilfreiche Tipps zur gesunden Mediennutzung enthält. Vielen Dank dafür! Mehr Infos: http://familiefreundefollower.de 32 1 11",1
354,#Gerechtigkeit #Klima  @BVerfg  gut!  „ Die zum Teil noch sehr jungen Beschwerdeführenden sind durch die angegriffenen Bestimmungen aber in ihren #Freiheitsrechten verletzt. Die Vorschriften verschieben hohe Emissionsminderungslasten unumkehrbar auf Zeiträume nach 2030. „ BVerfG @BVerfG  · 29. Apr. 2021 #BVerfG Verfassungsbeschwerden gegen das Klimaschutzgesetz teilweise erfolgreich http://bverfg.de/DE/bvg21-031 3 40,3
355,"Wenn erzkonservative Wessis losziehen, um in #Thüringen für “Innere Sicherheit” zu sorgen…… Matthias Meisner @MatthiasMeisner  · 27. Juni 2021 Ich habe mir das neue Buch „Corona-Diktatur“ von Helmut Roewer angetan. Manches befürchtet, aber eine solch krasse Ansammlung von verschwörungsideologischem und antidemokratischem Gedankengut dann doch nicht erwartet. Ein paar Beispiele im #Thread: Diesen Thread anzeigen 4 7 72",2
356,"Es ist richtig,  @OlafScholz  für die Versäumnisse in seinem Ministerium zu stellen. Wer unser Land führen will, der kann nicht Aufsichtsversagen an Aufsichtsversagen reihen. Gut, dass  @ArminLaschet  hier klar ist. #Triell 0:02 8.577 Mal angezeigt 78 55 322",1
357,"„Einfach nur Mensch sein....“ vielen herzlichen Dank liebe  @Afelia  für deine Rede im Bundestag zum #HolocaustGedenktag #WeRemember Bericht aus Berlin @ARD_BaB  · 27. Jan. 2021 „Einfach nur Mensch sein ist das Privileg derer, die nichts zu befürchten haben aufgrund ihrer Geburt.“ – @afelia bei der Gedenkstunde für die Shoah-Opfer im Bundestag. 1:54 72.233 Mal angezeigt 2 9 95",1
359,"Die Linksterroristen der #Rigaer94 bleiben frei und unbehelligt. Währenddessen sitzt Georg Thiel im Knast, weil er nicht für ARD und ZDF bezahlen will. Das ist: linker Gesinnungsstaat statt Rechtsstaat. #FreeGeorgThiel 103 534 1.749",2
360,Digitale Grüße nach #MecklenburgVorpommern!  Heute Abend hat unser Vorsitzender Ministerpräsident  @ArminLaschet  an der Online-Sitzung des Landesvorstands der  @CDUMV  teilgenommen. Wir wünschen allen Kandidatinnen & Kandidaten ein erfolgreiches #Superwahljahr2021! #CDUMV 20 11 56,3
361,"Heute ist der Tag der Entscheidung: ⁦ @OlafScholz ⁩ oder Laschet? Weil Deutschland einen Bundeskanzler braucht, der es kann: Beide Stimmen für die  @Spdde  #ScholzPacktDasan 32 26 234",3
362, Heute Abend einschalten!  @ChBaldauf  ist ein starker Kandidat für die Zukunft von #RheinlandPfalz! #ltwrlp21 CDU Rheinland-Pfalz @cdurlp  · 11. März 2021 Seid ihr heute im SWR dabei? Unterstützt @ChBaldauf in der Spitzenrunde #wirmachendas #ltwrp21 20 14 59,1
363,"Beste Antwort auf #Lindner  Marina Weisband @Afelia  · 2. Apr. 2021 DU WARST DERJENIGE, DER ALS ERSTER VERFRÜHT BEGONNEN HAT, DEN LOCKDOWN ZU BEKÄMPFEN, STATT DIE PANDEMIE ZU BEKÄMPFEN. twitter.com/AZ_Augsburg/st… 5 29 386",3
365,#Wechselstimmung 4 4 118,3
366,"Hätte die Bundesregierung und die EU-Kommission nicht vollständig bei der Impfstoffbestellung versagt, wären wir heute auch so weit wie Israel. juedische-allgemeine.de Touristen können Israel ab Ende Mai wieder besuchen Regierung: Voraussetzung ist eine Impfung gegen Covid-19 20 20 155",2
368,"Endlich! Damit wird eine langjährige Forderung von uns  @GrueneLandtagBY  endlich Wirklichkeit! Haben dazu unzählige Anträge gestellt: https://katharina-schulze.de/oktoberfestattentat-respekt-und-anerkennung-fuer-die-opfer/… BR24 @BR24  · 3. Juli 2021 Nach jahrzehntelangem Hin und Her bekommen 93 Opfer des #Münchner #Oktoberfestattentats jetzt Geld aus einem Fonds. Bund, Freistaat und Stadt München haben den Opferfonds mit 1,2 Millionen Euro im letzten Jahr eingerichtet. https://br.de/nachrichten/,Sc54Dan… 3 5 52",1
369,"Europe is proud of our everyday heroes - doctors, nurses, researchers and many others. We thank them for their contribution. The crisis begun in China. Europe found the solutions. We can be proud of what Europeans achieved since the start of the pandemic. #SOTEU 5 19 81",1
370,"Fahrtendemo auf der Stadtautobahn in #Berlin. Verkehrschaos pur. Ob sich die Öko-Fritzen mal überlegt haben, wieviel Abgase durch die Staus und das ständige Anfahren und Anhalten entstehen?  #A100 36 80 395",2
372,Die Anhörung war ein Desaster für die #Groko Trotzdem hat sie gestern das Gesetz zu den #Bestandsdatenauskunft verabschiedet - gegen die Stimmen der kompletten Opposition. Hier das Video meiner Rede: https://dbtg.tv/cvid/7499150 2 9 42,2
373,"Amid the post-election debates in Germany, there is good news from the #USA: Five months after her nomination,  @KDonfried  was yesterday confirmed by Senate as Assistant Secretary of State for Europe. This is a great fit & brilliant news for #Europe. Congratulations, Karen! 3 7 65",1
374,"Nun haben die drei Kandidaten das Wort. Verfolgen Sie die Reden von  @ArminLaschet ,  @_FriedrichMerz  und  @n_roettgen  in unserem Livestream.   https://cdu-parteitag.de #cdupt21 #cduvorsitz cdu-parteitag.de Startseite 34. Parteitag der CDU Deutschlands 12 13 33",3
375,"„Der Himmel hängt nicht voller Geigen, sondern voller sozialdemokratischer Fragestellungen“, sagt Matthias Platzeck und schließt damit die Debatte. Ich füge hinzu: Wir stellen nicht nur die wesentlichen Fragen, sondern liefern auch die passenden Antworten.  #MissionZukunftOst 38 23 172",3
376,"Haben letzte Woche einen Brief an Söder geschrieben, dass er sich auf der MPK mit den anderen Ländern auf einen Perspektivenplan verständig soll. Planbarkeit, was wann passiert, ist wichtig. Das gibt Orientierung für alle - Corona wird noch lang da sein sueddeutsche.de Corona: Protest gegen Söder wird lauter In der CSU-Fraktion wächst die Unzufriedenheit mit dem Corona-Kurs von Markus Söder. Ilse Aigner fordert ein Szenario für nach dem Lockdown. 5 6 50",3
377,"Donnerstag, 11:30 Uhr, Statement zum Urteil im Mordfall Walter Lübcke  @fdpbt 1 2 45",3
378,"""Man darf niemals ""zu spät"" sagen. Auch in der Politik ist es niemals zu spät. Es ist immer Zeit für einen neuen Anfang."" (Konrad Adenauer). Auch Sie wollen noch ein Wörtchen dabei mitreden, wer den #CDUVorsitz übernehmen soll? Dann werden Sie jetzt Mitglied! 62 43 77",3
380,"Creepy, der Typ #Tatort 7",2
381,Der einstimmige Beschuss von  @fdp  und  @fdpbt  ist ein klares Zeichen: Wir wollen gemeinsam die Grundlage für die Erneuerung des Aufstiegsversprechens in Deutschland schaffen. Jede und jeder soll seine Vorstellungen vom Leben verwirklichen können. #Koalitionsverhandlungen 25 8 105,1
382,Der HSV muss heute gegen Sandhausen ran - da sind 3 Punkte Pflicht! #nurderHSV 3 9,3
383,Klimakanzler & Klimaregierung waren Schlagworte dieser Wahl. Daran wird  gemessen werden. Das nächste wichtige Ereignis zur Bekämpfung des Klimawandels findet aber schon in wenigen Tagen statt & bisher sieht es für die #COP26 nicht gut aus. Das muss uns allen Sorge bereiten! 12 7 110,2
384,"Und wenn ja, wem gegenüber?  Armin @awillburger  · 19. Jan. 2021 5.000 Euro Bruttolohn: 52 % Deiner Arbeitsleistung gehen an den Staat, 48 % landen auf Deinem Konto. Ist das unsolidarisch? 10 5 64",3
385,"Stellt sich angesichts der Untätigkeit und des Wirrwarrs der #Ampel  hinsichtlich der #Corona Regeln vielleicht doch heraus, dass es eben nicht so einfach ist, eine solche Krise ‚zu managen‘..? 9 5 16",2
386,"""Die europäische Integration darf keine Sonntagsrede bleiben. Wir müssen den Weg für qualifizierte Mehrheiten in der Europäischen Union bereiten.""  @OlafScholz  bei der #MSCdebate 18 14 72",3
388," Pressemitteilung  Heute hat das Kabinett die #Datenstrategie der Bundesregierung beschlossen. Sie ist eine Innovationsstrategie für gesellschaftlichen Fortschritt und nachhaltiges Wachstum, so  @NadineSchoen  und  @TSchipanski . Mehr dazu im Statement: cducsu.de Datenstrategie für ein agiles Datenökosystem Am heutigen Mittwoch hat das Kabinett die Datenstrategie der Bundesregierung beschlossen. Sie ist eine Innovationsstrategie für gesellschaftlichen Fortschritt und nachhaltiges Wachstum. Dazu ... 3 2 6",3
390,"Das Hochwasser zerstört, was Menschen sich in Jahrzehnten aufgebaut haben. Es hinterlässt Tote und Traumatisierte. Jedes Einzelschicksal zählt, auf jede Rettung kommt es an. Wir müssen Deutschland besser vor Klimawandel schützen. Die Gefahr steigt noch für mindestens 80 Jahre 923 957 12.273",2
391,In Deutschland kommen die digitalen Schulzeugnisse. Wer geht voran? NRW! So meldet es dpa. Dort gibt es schon im Juni digitale Abiturzeugnisse. Kein Wunder! In NRW gibt es ja auch eine liberale Schulministerin und einen liberalen Digitalminister. 101 53 516,3
